Species,Genus,Sub-family,Family,Order
kollmannspergeri,Mastomys,Murinae,Muridae,Rodentia
bartelsii,Maxomys,Murinae,Muridae,Rodentia
dollmani,Maxomys,Murinae,Muridae,Rodentia
hellwaldii,Maxomys,Murinae,Muridae,Rodentia
hylomyoides,Maxomys,Murinae,Muridae,Rodentia
musschenbroekii,Maxomys,Murinae,Muridae,Rodentia
surifer,Maxomys,Murinae,Muridae,Rodentia
wattsi,Maxomys,Murinae,Muridae,Rodentia
whiteheadi,Maxomys,Murinae,Muridae,Rodentia
americana,Mazama,Cervinae,Cervidae,Artiodactyla
chunyi,Mazama,Cervinae,Cervidae,Artiodactyla
gouazoupira,Mazama,Cervinae,Cervidae,Artiodactyla
nemorivaga,Mazama,Cervinae,Cervidae,Artiodactyla
rufina,Mazama,Cervinae,Cervidae,Artiodactyla
temama,Mazama,Cervinae,Cervidae,Artiodactyla
sp,Megaloceros,Cervinae,Cervidae,Artiodactyla
azagnyi,Megaloglossus,Pteropodinae,Pteropodidae,Chiroptera
woermanni,Megaloglossus,Pteropodinae,Pteropodidae,Chiroptera
anakuma,Meles,Mustelinae,Mustelidae,Carnivora
meles,Meles,Mustelinae,Mustelidae,Carnivora
mephitis,Mephitis,Mephitinae,Mephitidae,Carnivora
tamariscinus,Meriones,Murinae,Muridae,Rodentia
tristrami,Meriones,Murinae,Muridae,Rodentia
unguiculatus,Meriones,Murinae,Muridae,Rodentia
hispidus,Mesomys,Echimyinae,Echimyidae,Rodentia
stimulax,Mesomys,Echimyinae,Echimyidae,Rodentia
macconnelli,Mesophylla,Phyllostominae,Phyllostomidae,Chiroptera
europaeus,Mesoplodon,Hyperoodontinae,Hyperoodontidae,Cetacea
ginkgodens,Mesoplodon,Hyperoodontinae,Hyperoodontidae,Cetacea
grayi,Mesoplodon,Hyperoodontinae,Hyperoodontidae,Cetacea
mirus,Mesoplodon,Hyperoodontinae,Hyperoodontidae,Cetacea
griseorufus,Microcebus,Cheirogaleinae,Cheirogaleidae,Primates
murinus,Microcebus,Cheirogaleinae,Cheirogaleidae,Primates
myoxinus,Microcebus,Cheirogaleinae,Cheirogaleidae,Primates
erythrotis,Micromys,Murinae,Muridae,Rodentia
minutus,Micromys,Murinae,Muridae,Rodentia
pygmaeus,Micromys,Murinae,Muridae,Rodentia
hirsuta,Micronycteris,Phyllostominae,Phyllostomidae,Chiroptera
megalotis,Micronycteris,Phyllostominae,Phyllostomidae,Chiroptera
arvalis,Microtus,Cricetinae,Cricetidae,Rodentia
daghestanicus,Microtus,Cricetinae,Cricetidae,Rodentia
ilaeus,Microtus,Cricetinae,Cricetidae,Rodentia
maximowiczii,Microtus,Cricetinae,Cricetidae,Rodentia
montanus,Microtus,Cricetinae,Cricetidae,Rodentia
obscurus,Microtus,Cricetinae,Cricetidae,Rodentia
ochrogaster,Microtus,Cricetinae,Cricetidae,Rodentia
oregoni,Microtus,Cricetinae,Cricetidae,Rodentia
pennsylvanicus,Microtus,Cricetinae,Cricetidae,Rodentia
pinetorum,Microtus,Cricetinae,Cricetidae,Rodentia
richardsoni,Microtus,Cricetinae,Cricetidae,Rodentia
socialis,Microtus,Cricetinae,Cricetidae,Rodentia
schreibersii,Miniopterus,Miniopterinae,Miniopteridae,Chiroptera
ogouensis,Miopithecus,Cercopithecinae,Cercopithecidae,Primates
trumani,Miracinonyx,Felinae,Felidae,Carnivora
angustirostris,Mirounga,Phocinae,Phocidae,Carnivora
leonina,Mirounga,Phocinae,Phocidae,Carnivora
molossus,Molossus,Molossinae,Molossidae,Chiroptera
monachus,Monachus,Monachinae,Phocidae,Carnivora
plicatus,Mops,Molossinae,Molossidae,Chiroptera
pumilus,Mops,Molossinae,Molossidae,Chiroptera
cobourgianus,Mormopterus,Molossinae,Molossidae,Chiroptera
loriae,Mormopterus,Molossinae,Molossidae,Chiroptera
petersi,Mormopterus,Molossinae,Molossidae,Chiroptera
planiceps,Mormopterus,Molossinae,Molossidae,Chiroptera
anhuiensis,Moschus,Moschinae,Moschidae,Artiodactyla
berezovskii,Moschus,Moschinae,Moschidae,Artiodactyla
chrysogaster,Moschus,Moschinae,Moschidae,Artiodactyla
cupreus,Moschus,Moschinae,Moschidae,Artiodactyla
fuscus,Moschus,Moschinae,Moschidae,Artiodactyla
leucogaster,Moschus,Moschinae,Moschidae,Artiodactyla
moschiferus,Moschus,Moschinae,Moschidae,Artiodactyla
atherodes,Muntiacus,Cervinae,Cervidae,Artiodactyla
feae,Muntiacus,Cervinae,Cervidae,Artiodactyla
gongshanensis,Muntiacus,Cervinae,Cervidae,Artiodactyla
muntjak,Muntiacus,Cervinae,Cervidae,Artiodactyla
putaoensis,Muntiacus,Cervinae,Cervidae,Artiodactyla
reevesi,Muntiacus,Cervinae,Cervidae,Artiodactyla
vaginalis,Muntiacus,Cervinae,Cervidae,Artiodactyla
altaica,Mustela,Mustelinae,Mustelidae,Carnivora
erminea,Mustela,Mustelinae,Mustelidae,Carnivora
itatsi,Mustela,Mustelinae,Mustelidae,Carnivora
kathiah,Mustela,Mustelinae,Mustelidae,Carnivora
lutreola,Mustela,Mustelinae,Mustelidae,Carnivora
nigripes,Mustela,Mustelinae,Mustelidae,Carnivora
nivalis,Mustela,Mustelinae,Mustelidae,Carnivora
putorius,Mustela,Mustelinae,Mustelidae,Carnivora
richardsonii,Mustela,Mustelinae,Mustelidae,Carnivora
sibirica,Mustela,Mustelinae,Mustelidae,Carnivora
vison,Mustela,Mustelinae,Mustelidae,Carnivora
darwinii,Mylodon,Mylodontinae,Mylodontidae,Pilosa
coypus,Myocastor,Myocastorinae,Myocastoridae,Rodentia
glareolus,Myodes,Cricetinae,Cricetidae,Rodentia
rutilus,Myodes,Cricetinae,Cricetidae,Rodentia
atacamensis,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
aurascens,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
bechsteinii,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
blythii,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
bombinus,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
brandtii,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
californicus,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
daubentonii,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
davidii,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
dominicensis,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
findleyi,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
frater,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
ikonnikovi,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
leibii,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
lucifugus,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
martiniquensis,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
muricola,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
myotis,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
nattereri,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
nigricans,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
occultus,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
pilosus,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
planiceps,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
riparius,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
septentrionalis,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
velifer,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
vivesi,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
yumanensis,Myotis,Vespertilioninae,Vespertilionidae,Chiroptera
balearicus,Myotragus,Antilopinae,Bovidae,Artiodactyla
goral,Naemorhedus,Bovinae,Bovidae,Artiodactyla
griseus,Naemorhedus,Bovinae,Bovidae,Artiodactyla
binotata,Nandinia,Nandiniinae,Nandiniidae,Carnivora
dama,Nanger,Antilopinae,Bovidae,Artiodactyla
granti,Nanger,Antilopinae,Bovidae,Artiodactyla
soemmerringii,Nanger,Antilopinae,Bovidae,Artiodactyla
galili,Nannospalax,Murinae,Muridae,Rodentia
leucodon,Nannospalax,Murinae,Muridae,Rodentia
nehringi,Nannospalax,Murinae,Muridae,Rodentia
turcicus,Nannospalax,Murinae,Muridae,Rodentia
veldkampii,Nanonycteris,Pteropodinae,Pteropodidae,Chiroptera
liaoruii,Neodon,Cricetinae,Cricetidae,Rodentia
medogensis,Neodon,Cricetinae,Cricetidae,Rodentia
shergylaensis,Neodon,Cricetinae,Cricetidae,Rodentia
sikimensis,Neodon,Cricetinae,Cricetidae,Rodentia
americana,Neoepinnula,Gempylinae,Gempylidae,Perciformes
felipei,Neogale,Mustelinae,Mustelidae,Carnivora
vison,Neogale,Mustelinae,Mustelidae,Carnivora
phocaenoides,Neophocaena,Phocoeninae,Phocoenidae,Cetacea
sunameri,Neophocaena,Phocoeninae,Phocoenidae,Cetacea
fuscipes,Neotoma,Cricetinae,Cricetidae,Rodentia
macrotis,Neotoma,Cricetinae,Cricetidae,Rodentia
batesi,Neotragus,Bovinae,Bovidae,Artiodactyla
moschatus,Neotragus,Bovinae,Bovidae,Artiodactyla
hidalgo,Nesiotites,Soricinae,Soricidae,Soricomorpha
andersoni,Niviventer,Murinae,Muridae,Rodentia
confucianus,Niviventer,Murinae,Muridae,Rodentia
cremoriventer,Niviventer,Murinae,Muridae,Rodentia
excelsior,Niviventer,Murinae,Muridae,Rodentia
lotipes,Niviventer,Murinae,Muridae,Rodentia
procyonoides,Nyctereutes,Caninae,Canidae,Carnivora
femorosaccus,Nyctinomops,Molossinae,Molossidae,Chiroptera
macrotis,Nyctinomops,Molossinae,Molossidae,Chiroptera
collaris,Ochotona,Ochotoninae,Ochotonidae,Lagomorpha
himalayana,Ochotona,Ochotoninae,Ochotonidae,Lagomorpha
huangensis,Ochotona,Ochotoninae,Ochotonidae,Lagomorpha
nubrica,Ochotona,Ochotoninae,Ochotonidae,Lagomorpha
sikimaria,Ochotona,Ochotoninae,Ochotonidae,Lagomorpha
thibetana,Ochotona,Ochotoninae,Ochotonidae,Lagomorpha
rosmarus,Odobenus,Odobeninae,Odobenidae,Carnivora
hemionus,Odocoileus,Cervinae,Cervidae,Artiodactyla
virginianus,Odocoileus,Cervinae,Cervidae,Artiodactyla
torridus,Onychomys,Cricetinae,Cricetidae,Rodentia
mizura,Oreoscaptor,Talpinae,Talpidae,Soricomorpha
beisa,Oryx,Hippotraginae,Bovidae,Artiodactyla
dammah,Oryx,Hippotraginae,Bovidae,Artiodactyla
gazella,Oryx,Hippotraginae,Bovidae,Artiodactyla
